TRACK LIST
Width,Start Point,End Point,Layer Name,Net Name
0.25,"(118.11, 91.44)","(120.65, 93.98)",F.Cu,
0.25,"(121.102501, 86.855001)","(121.102501, 84.637499)",F.Cu,Net-(R1-Pad2)
0.25,"(121.102501, 84.637499)","(121.92, 83.82)",F.Cu,Net-(R1-Pad2)
0.25,"(121.92, 83.82)","(123.19, 83.82)",F.Cu,Net-(R1-Pad2)
0.25,"(124.352501, 84.982501)","(124.352501, 86.855001)",F.Cu,Net-(R1-Pad2)
0.25,"(123.19, 83.82)","(124.352501, 84.982501)",F.Cu,Net-(R1-Pad2)
0.25,"(121.92, 88.9)","(120.65, 88.9)",B.Cu,/res_net
0.25,"(120.65, 88.9)","(119.907501, 88.157501)",B.Cu,/res_net
0.25,"(119.907501, 88.157501)","(119.907501, 86.855001)",B.Cu,/res_net
0.25,"(121.92, 88.9)","(123.19, 88.9)",B.Cu,/res_net
0.25,"(123.19, 88.9)","(123.19, 86.8875)",B.Cu,/res_net
0.25,"(123.19, 86.8875)","(123.157501, 86.855001)",B.Cu,/res_net

VIA LIST
Width,Drill,Position,Net Name
0.8,0.4,"(121.92, 88.9)",/res_net
0.8,0.4,"(119.907501, 86.855001)",/res_net
0.8,0.4,"(123.157501, 86.855001)",/res_net

COMP LIST
Reference,Position,Value,Flipped,Angle
R1,"(120.505001, 86.855001)",R,False,0.0
R2,"(123.755001, 86.855001)",R,False,0.0
